#boundary segments
0 223.654
0 0
337.338 0

0 386.318
0 223.654
337.338 223.654

0 386.318
0 502.914

0 386.318
99.7206 386.318

0 502.914
452 502.914

191.442 386.318
337.338 386.318

337.338 68.336
337.338 0

452 0
337.338 0

337.338 223.654
337.338 135.5

337.338 386.318
337.338 223.654

452 502.914
452 0


#voronoi segments
-1825.42 251.457
-33555.8 251.457

2277.42 251.457
34007.8 251.457

226 2091.18
226 37395.7

226 -1588.27
226 -36892.8

111.827 111.827
0 223.654

452 502.914
452 502.914

394.669 135.5
394.662 134.208
394.654 133.627
394.645 133.149
394.635 132.716
394.625 132.306
394.613 131.91
394.6 131.519
394.586 131.129
394.57 130.737
394.553 130.34
394.534 129.936
394.513 129.523
394.49 129.099
394.465 128.663
394.438 128.214
394.407 127.75
394.374 127.269
394.337 126.771
394.296 126.254
394.252 125.717
394.203 125.159
394.149 124.577
394.09 123.971
394.024 123.34
393.952 122.681
393.874 121.993
393.787 121.275
393.691 120.525
393.586 119.741
393.47 118.921
393.343 118.064
393.203 117.167
393.05 116.229
392.88 115.247
392.694 114.219
392.489 113.143
392.264 112.016
392.016 110.836
391.744 109.6
391.444 108.305
391.114 106.948
390.751 105.527
390.352 104.037
389.913 102.476
389.751 101.918

0 -1368.28
-680.26 -756.885

1974.4 0
1974.44 0.034783
1974.48 0.073043
1974.53 0.115128
1974.58 0.161421
1974.64 0.212341
1974.7 0.268351
1974.77 0.329959
1974.84 0.397726
1974.93 0.472265
1975.02 0.554255
1975.12 0.644438
1975.23 0.743633
1975.35 0.852741
1975.48 0.97275
1975.63 1.10475
1975.79 1.24993
1975.97 1.40962
1976.17 1.58526
1976.38 1.77844
1976.62 1.9909
1976.88 2.22458
1977.17 2.48159
1977.48 2.76425
1977.83 3.07511
1978.21 3.41698
1978.63 3.79295
1979.09 4.20641
1979.6 4.66109
1980.15 5.16108
1980.77 5.71087
1981.44 6.31542
1982.19 6.98014
1983 7.711
1983.9 8.51455
1984.89 9.39795
1985.98 10.3691
1987.17 11.4367
1988.49 12.6101
1989.94 13.8999
1991.53 15.3173
1993.28 16.875
1995.21 18.5867
1997.33 20.4673
1999.66 22.5333
2002.22 24.8027
2005.05 27.2952
2008.15 30.0323
2011.56 33.0375
2015.32 36.3364
2019.45 39.9572
2023.99 43.9304
2028.99 48.2892
2034.48 53.0699
2040.53 58.3118
2047.18 64.0578
2054.5 70.3544
2062.55 77.2518
2071.4 84.8046
2081.14 93.0717
2091.85 102.117
2103.64 112.008
2116.6 122.819
2130.86 134.63
2146.54 147.525
2163.8 161.594
2182.77 176.936
2203.65 193.652
2226.61 211.853
2251.87 231.654
2277.42 251.457

256.006 304.986
337.338 223.654

1974.4 502.914
1132.26 1259.8

-1789.63 223.654
-1789.63 223.654

228.046 111.827
111.827 111.827

-1657.13 386.318
-1657.17 386.285
-1657.21 386.249
-1657.26 386.209
-1657.31 386.166
-1657.37 386.118
-1657.43 386.065
-1657.5 386.007
-1657.58 385.943
-1657.66 385.873
-1657.75 385.796
-1657.86 385.711
-1657.97 385.618
-1658.09 385.515
-1658.23 385.402
-1658.37 385.277
-1658.54 385.141
-1658.72 384.99
-1658.92 384.825
-1659.14 384.643
-1659.38 384.443
